CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,year,month,temperature,precipitation,weather_condition
10/08/2025,8:00,40.844193,-73.82978,BRONX,1.0,0.0,0,0,0,0,1,0,4849394,2025-10-08 08:00:00,2025-10-08T08:00,2025,10,19.0,1.1,Drizzle
06/28/2025,15:00,40.82842,-73.86067,BRONX,1.0,0.0,0,0,1,0,0,0,4824123,2025-06-28 15:00:00,2025-06-28T15:00,2025,6,29.6,0.0,Cloudy
01/28/2025,8:00,40.82851,-73.88011,BRONX,1.0,0.0,1,0,0,0,0,0,4789239,2025-01-28 08:00:00,2025-01-28T08:00,2025,1,2.2,0.0,Clear
06/30/2025,18:00,40.80968,-73.90306,BRONX,1.0,0.0,0,0,0,0,1,0,4826394,2025-06-30 18:00:00,2025-06-30T18:00,2025,6,29.9,0.0,Cloudy
10/16/2025,17:00,40.82969,-73.825294,BRONX,1.0,0.0,0,0,0,0,1,0,4852765,2025-10-16 17:00:00,2025-10-16T17:00,2025,10,12.6,0.0,Clear
07/01/2025,5:00,40.807705,-73.92954,BRONX,1.0,0.0,0,0,0,0,1,0,4824979,2025-07-01 05:00:00,2025-07-01T05:00,2025,7,24.9,0.0,Cloudy
03/05/2025,15:00,40.83472,-73.9112,BRONX,1.0,0.0,0,0,0,0,1,0,4796585,2025-03-05 15:00:00,2025-03-05T15:00,2025,3,11.7,0.0,Cloudy
01/29/2025,5:00,40.865128,-73.83887,BRONX,0.0,0.0,0,0,0,0,0,0,4790939,2025-01-29 05:00:00,2025-01-29T05:00,2025,1,2.6,0.0,Clear
08/25/2025,0:00,40.895752,-73.864914,BRONX,1.0,0.0,0,0,0,0,1,0,4837481,2025-08-25 00:00:00,2025-08-25T00:00,2025,8,21.5,0.0,Cloudy
01/28/2025,12:00,40.819748,-73.891594,BRONX,0.0,0.0,0,0,0,0,0,0,4788917,2025-01-28 12:00:00,2025-01-28T12:00,2025,1,3.5,0.0,Cloudy
06/02/2025,0:00,40.855995,-73.844215,BRONX,1.0,0.0,0,0,0,0,1,0,4817589,2025-06-02 00:00:00,2025-06-02T00:00,2025,6,12.1,0.0,Clear
10/02/2025,12:00,40.882633,-73.83951,BRONX,2.0,0.0,0,0,0,0,2,0,4851443,2025-10-02 12:00:00,2025-10-02T12:00,2025,10,17.7,0.0,Cloudy
02/15/2025,19:00,40.819057,-73.92922,BRONX,1.0,0.0,0,0,0,0,1,0,4793486,2025-02-15 19:00:00,2025-02-15T19:00,2025,2,0.8,0.6,Heavy Snow
03/09/2025,17:00,40.822716,-73.90314,BRONX,1.0,0.0,1,0,0,0,0,0,4797419,2025-03-09 17:00:00,2025-03-09T17:00,2025,3,9.7,0.0,Clear
01/29/2025,8:00,40.825554,-73.84325,BRONX,1.0,0.0,0,0,0,0,0,0,4790314,2025-01-29 08:00:00,2025-01-29T08:00,2025,1,2.9,0.0,Cloudy
03/30/2025,8:00,40.85934,-73.83103,BRONX,0.0,0.0,0,0,0,0,0,0,4802164,2025-03-30 08:00:00,2025-03-30T08:00,2025,3,6.0,0.0,Cloudy
04/03/2025,7:00,40.867805,-73.8625,BRONX,1.0,0.0,1,0,0,0,0,0,4804430,2025-04-03 07:00:00,2025-04-03T07:00,2025,4,12.1,0.0,Cloudy
05/10/2025,0:00,40.849236,-73.862785,BRONX,1.0,0.0,0,0,0,0,0,0,4811904,2025-05-10 00:00:00,2025-05-10T00:00,2025,5,11.6,0.0,Cloudy
08/11/2025,5:00,0.0,0.0,BRONX,0.0,0.0,0,0,0,0,0,0,4835137,2025-08-11 05:00:00,2025-08-11T05:00,2025,8,22.5,0.0,Clear
01/29/2025,13:00,40.846973,-73.900085,BRONX,0.0,0.0,0,0,0,0,0,0,4789220,2025-01-29 13:00:00,2025-01-29T13:00,2025,1,8.6,0.0,Cloudy
05/29/2025,18:00,40.868282,-73.90107,BRONX,1.0,0.0,0,0,0,0,1,0,4816870,2025-05-29 18:00:00,2025-05-29T18:00,2025,5,20.2,0.0,Cloudy
04/26/2025,0:00,40.807705,-73.92954,BRONX,2.0,0.0,0,0,0,0,2,0,4808671,2025-04-26 00:00:00,2025-04-26T00:00,2025,4,15.8,0.0,Cloudy
04/10/2025,14:00,40.845596,-73.86433,BRONX,3.0,0.0,0,0,0,0,3,0,4806040,2025-04-10 14:00:00,2025-04-10T14:00,2025,4,7.6,0.0,Cloudy
04/10/2025,14:00,0.0,0.0,BRONX,1.0,0.0,1,0,0,0,0,0,4806127,2025-04-10 14:00:00,2025-04-10T14:00,2025,4,28.2,0.0,Cloudy
09/30/2025,0:00,40.86275,-73.90493,BRONX,2.0,0.0,0,0,0,0,2,0,4846710,2025-09-30 00:00:00,2025-09-30T00:00,2025,9,18.1,0.0,Cloudy
06/06/2025,3:00,40.846313,-73.84798,BRONX,0.0,0.0,0,0,0,0,0,0,4818285,2025-06-06 03:00:00,2025-06-06T03:00,2025,6,22.7,0.0,Cloudy
02/11/2025,15:00,40.825848,-73.90992,BRONX,1.0,0.0,1,0,0,0,0,0,4792458,2025-02-11 15:00:00,2025-02-11T15:00,2025,2,-0.2,0.0,Cloudy
03/31/2025,18:00,40.823936,-73.91724,BRONX,0.0,0.0,0,0,0,0,0,0,4803997,2025-03-31 18:00:00,2025-03-31T18:00,2025,3,16.5,3.4,Heavy Rain
09/11/2025,7:00,40.87911,-73.84325,BRONX,0.0,0.0,0,0,0,0,0,0,4842007,2025-09-11 07:00:00,2025-09-11T07:00,2025,9,16.8,0.0,Clear
01/22/2025,9:00,40.833546,-73.8963,BRONX,1.0,0.0,0,0,0,0,1,0,4787980,2025-01-22 09:00:00,2025-01-22T09:00,2025,1,-12.8,0.0,Clear
02/09/2025,10:00,40.824207,-73.85879,BRONX,0.0,0.0,0,0,0,0,0,0,4791361,2025-02-09 10:00:00,2025-02-09T10:00,2025,2,0.5,0.0,Clear
07/26/2025,0:00,40.82151,-73.86203,BRONX,1.0,0.0,0,0,0,0,1,0,4830523,2025-07-26 00:00:00,2025-07-26T00:00,2025,7,27.0,0.0,Cloudy
07/28/2025,0:00,40.830296,-73.85065,BRONX,3.0,0.0,0,0,0,0,3,0,4830929,2025-07-28 00:00:00,2025-07-28T00:00,2025,7,26.1,0.0,Clear
10/24/2025,11:00,40.85661,-73.88685,BRONX,0.0,0.0,0,0,0,0,0,0,4852794,2025-10-24 11:00:00,2025-10-24T11:00,2025,10,12.8,0.0,Clear
06/22/2025,20:00,40.81614,-73.89487,BRONX,1.0,0.0,0,0,0,0,1,0,4822487,2025-06-22 20:00:00,2025-06-22T20:00,2025,6,30.4,0.0,Cloudy
04/25/2025,7:00,40.850006,-73.84543,BRONX,1.0,0.0,1,0,0,0,0,0,4808165,2025-04-25 07:00:00,2025-04-25T07:00,2025,4,16.0,0.0,Cloudy
04/09/2025,12:00,40.865364,-73.87042,BRONX,1.0,0.0,0,0,0,0,1,0,4804576,2025-04-09 12:00:00,2025-04-09T12:00,2025,4,5.4,0.0,Clear
06/15/2025,15:00,40.85586,-73.894615,BRONX,1.0,0.0,1,0,0,0,0,0,4820577,2025-06-15 15:00:00,2025-06-15T15:00,2025,6,18.9,0.0,Cloudy
06/10/2025,0:00,40.818993,-73.886696,BRONX,1.0,0.0,1,0,0,0,0,0,4819602,2025-06-10 00:00:00,2025-06-10T00:00,2025,6,17.1,0.0,Cloudy
08/10/2025,9:00,40.846546,-73.885605,BRONX,1.0,0.0,0,0,1,0,0,0,4834231,2025-08-10 09:00:00,2025-08-10T09:00,2025,8,26.7,0.0,Clear
09/16/2025,10:00,40.826786,-73.89091,BRONX,1.0,0.0,0,0,0,0,0,0,4843003,2025-09-16 10:00:00,2025-09-16T10:00,2025,9,22.4,0.0,Cloudy
08/26/2025,0:00,40.869404,-73.861046,BRONX,1.0,0.0,1,0,0,0,0,0,4839225,2025-08-26 00:00:00,2025-08-26T00:00,2025,8,21.8,0.0,Clear
03/14/2025,14:00,40.822544,-73.885025,BRONX,3.0,0.0,0,0,0,0,3,0,4799632,2025-03-14 14:00:00,2025-03-14T14:00,2025,3,13.0,0.0,Clear
03/05/2025,9:00,40.830006,-73.91811,BRONX,2.0,0.0,0,0,0,0,2,0,4796566,2025-03-05 09:00:00,2025-03-05T09:00,2025,3,11.0,0.0,Cloudy
04/10/2025,16:00,40.83413,-73.87474,BRONX,4.0,0.0,0,0,0,0,4,0,4805011,2025-04-10 16:00:00,2025-04-10T16:00,2025,4,6.5,0.1,Drizzle
07/11/2025,0:00,40.828304,-73.88295,BRONX,0.0,0.0,0,0,0,0,0,0,4827441,2025-07-11 00:00:00,2025-07-11T00:00,2025,7,22.7,0.0,Clear
02/26/2025,7:00,40.855633,-73.86465,BRONX,0.0,0.0,0,0,0,0,0,0,4795005,2025-02-26 07:00:00,2025-02-26T07:00,2025,2,2.0,0.0,Clear
09/28/2025,10:00,40.835968,-73.869995,BRONX,1.0,0.0,0,0,0,0,1,0,4845658,2025-09-28 10:00:00,2025-09-28T10:00,2025,9,23.1,0.0,Clear
