CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,datetime,iso_datetime,temperature,precipitation,weather_condition
09/25/2018,20:00,40.831932,-73.90653,BRONX,0.0,0.0,0,0,0,0,0,0,3988010,2018-09-25 20:00:00,2018-09-25T20:00,21.6,0.7,Drizzle
08/12/2019,22:00,40.618977,-73.951225,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4190081,2019-08-12 22:00:00,2019-08-12T22:00,25.1,0.0,Cloudy
07/24/2025,15:00,40.555836,-74.21279,STATEN ISLAND,0.0,0.0,0,0,0,0,0,0,4830450,2025-07-24 15:00:00,2025-07-24T15:00,31.7,0.0,Cloudy
12/24/2021,16:00,40.64759,-74.01142,BROOKLYN,1.0,0.0,1,0,0,0,0,0,4489420,2021-12-24 16:00:00,2021-12-24T16:00,6.1,0.0,Cloudy
03/08/2015,14:00,40.7205573,-74.0035102,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3182326,2015-03-08 14:00:00,2015-03-08T14:00,6.1,0.0,Cloudy
12/17/2020,13:00,40.77039,-73.73441,QUEENS,0.0,0.0,0,0,0,0,0,0,4376870,2020-12-17 13:00:00,2020-12-17T13:00,-2.9,0.0,Cloudy
03/30/2021,10:00,40.673183,-74.00262,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4403129,2021-03-30 10:00:00,2021-03-30T10:00,9.4,0.0,Clear
09/16/2013,16:00,40.7284296,-73.7928398,QUEENS,1.0,0.0,0,0,0,0,1,0,236836,2013-09-16 16:00:00,2013-09-16T16:00,21.3,0.0,Cloudy
05/06/2019,8:00,40.691666,-73.76239,QUEENS,0.0,0.0,0,0,0,0,0,0,4126574,2019-05-06 08:00:00,2019-05-06T08:00,12.1,0.0,Clear
11/19/2018,21:00,40.66612,-73.82225,QUEENS,0.0,0.0,0,0,0,0,0,0,4030787,2018-11-19 21:00:00,2018-11-19T21:00,6.3,0.0,Cloudy
10/25/2018,20:00,40.724068,-73.93948,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4007647,2018-10-25 20:00:00,2018-10-25T20:00,5.7,0.0,Cloudy
06/18/2016,23:00,40.63532,-74.02324,BROOKLYN,3.0,0.0,0,0,0,0,3,0,3463710,2016-06-18 23:00:00,2016-06-18T23:00,21.1,0.0,Cloudy
04/21/2018,11:00,40.661465,-73.73821,QUEENS,0.0,0.0,0,0,0,0,0,0,3885099,2018-04-21 11:00:00,2018-04-21T11:00,10.5,0.0,Cloudy
01/22/2018,15:00,40.633278,-74.02062,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3834018,2018-01-22 15:00:00,2018-01-22T15:00,8.5,0.1,Drizzle
12/13/2019,8:00,40.725006,-73.74445,QUEENS,0.0,0.0,0,0,0,0,0,0,4257317,2019-12-13 08:00:00,2019-12-13T08:00,4.1,0.0,Cloudy
06/25/2015,19:00,40.7886954,-73.9378611,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3246286,2015-06-25 19:00:00,2015-06-25T19:00,23.7,0.0,Cloudy
11/30/2018,22:00,40.815403,-73.905075,BRONX,0.0,0.0,0,0,0,0,0,0,4036045,2018-11-30 22:00:00,2018-11-30T22:00,3.6,0.0,Cloudy
04/26/2015,16:00,40.5253868,-74.239264,STATEN ISLAND,0.0,0.0,0,0,0,0,0,0,3210346,2015-04-26 16:00:00,2015-04-26T16:00,14.0,0.0,Cloudy
10/11/2015,10:00,40.5775042,-74.097984,STATEN ISLAND,0.0,0.0,0,0,0,0,0,0,3317284,2015-10-11 10:00:00,2015-10-11T10:00,13.6,0.0,Cloudy
06/15/2014,4:00,40.6228597,-74.0253457,BROOKLYN,0.0,0.0,0,0,0,0,0,0,351934,2014-06-15 04:00:00,2014-06-15T04:00,14.3,0.0,Clear
05/12/2025,17:00,40.636013,-73.95025,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4812915,2025-05-12 17:00:00,2025-05-12T17:00,17.6,0.0,Cloudy
09/08/2012,16:00,40.7257971,-73.9976116,MANHATTAN,0.0,0.0,0,0,0,0,0,0,657,2012-09-08 16:00:00,2012-09-08T16:00,27.3,0.1,Drizzle
03/28/2013,22:00,40.763893,-73.9149938,QUEENS,0.0,0.0,0,0,0,0,0,0,275499,2013-03-28 22:00:00,2013-03-28T22:00,5.0,0.0,Clear
06/03/2014,13:00,40.6303235,-74.022297,BROOKLYN,0.0,0.0,0,0,0,0,0,0,345570,2014-06-03 13:00:00,2014-06-03T13:00,27.8,0.0,Clear
01/17/2015,3:00,40.7150376,-73.9968076,MANHATTAN,2.0,0.0,2,0,0,0,0,0,3154627,2015-01-17 03:00:00,2015-01-17T03:00,-7.7,0.0,Clear
05/22/2018,11:00,40.737537,-73.929955,QUEENS,0.0,0.0,0,0,0,0,0,0,3906122,2018-05-22 11:00:00,2018-05-22T11:00,19.4,0.0,Cloudy
08/19/2015,11:00,40.7864454,-73.8006074,QUEENS,0.0,0.0,0,0,0,0,0,0,3281347,2015-08-19 11:00:00,2015-08-19T11:00,27.4,0.0,Clear
12/22/2014,20:00,40.7343762,-73.8734167,QUEENS,0.0,0.0,0,0,0,0,0,0,3142147,2014-12-22 20:00:00,2014-12-22T20:00,6.3,0.0,Cloudy
04/13/2025,20:00,40.71345,-73.85171,QUEENS,2.0,0.0,0,0,0,0,2,0,4805702,2025-04-13 20:00:00,2025-04-13T20:00,11.7,0.0,Clear
12/18/2016,20:00,40.757145,-73.99357,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3582721,2016-12-18 20:00:00,2016-12-18T20:00,1.0,0.0,Cloudy
12/04/2014,4:00,40.8764729,-73.8705687,BRONX,0.0,0.0,0,0,0,0,0,0,3130530,2014-12-04 04:00:00,2014-12-04T04:00,1.3,0.0,Clear
06/20/2013,18:00,40.7628268,-73.9339794,QUEENS,0.0,0.0,0,0,0,0,0,0,276424,2013-06-20 18:00:00,2013-06-20T18:00,22.6,0.0,Cloudy
07/20/2018,13:00,40.71071,-73.793045,QUEENS,0.0,0.0,0,0,0,0,0,0,3945077,2018-07-20 13:00:00,2018-07-20T13:00,25.7,0.0,Clear
04/18/2015,22:00,40.7497063,-73.9915618,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3204494,2015-04-18 22:00:00,2015-04-18T22:00,15.3,0.0,Cloudy
11/07/2012,19:00,40.6105232,-73.9811779,BROOKLYN,0.0,0.0,0,0,0,0,0,0,122296,2012-11-07 19:00:00,2012-11-07T19:00,1.5,1.8,Heavy Snow
11/18/2014,13:00,40.6357798,-73.9759609,BROOKLYN,0.0,0.0,0,0,0,0,0,0,2825614,2014-11-18 13:00:00,2014-11-18T13:00,0.3,0.0,Clear
03/13/2018,0:00,40.579605,-73.96416,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3862648,2018-03-13 00:00:00,2018-03-13T00:00,1.5,0.6,Heavy Snow
09/12/2019,23:00,40.70402,-73.95807,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4204787,2019-09-12 23:00:00,2019-09-12T23:00,17.0,0.0,Cloudy
07/21/2017,1:00,40.66796,-73.87009,BROOKLYN,1.0,0.0,0,0,1,0,0,0,3715543,2017-07-21 01:00:00,2017-07-21T01:00,25.4,0.0,Cloudy
12/21/2022,15:00,40.72067,-73.94085,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4593466,2022-12-21 15:00:00,2022-12-21T15:00,2.8,0.0,Clear
08/27/2013,22:00,40.8295996,-73.9481394,MANHATTAN,0.0,0.0,0,0,0,0,0,0,65901,2013-08-27 22:00:00,2013-08-27T22:00,23.5,0.0,Cloudy
06/07/2014,18:00,40.5767253,-73.9566837,BROOKLYN,1.0,0.0,0,0,0,0,1,0,347718,2014-06-07 18:00:00,2014-06-07T18:00,25.6,0.0,Clear
08/18/2019,14:00,40.814266,-73.912964,BRONX,1.0,0.0,0,0,1,0,0,0,4191795,2019-08-18 14:00:00,2019-08-18T14:00,28.5,0.0,Cloudy
07/07/2014,21:00,40.7402725,-73.8958512,QUEENS,0.0,0.0,0,0,0,0,0,0,875241,2014-07-07 21:00:00,2014-07-07T21:00,27.4,0.0,Cloudy
10/08/2017,22:00,40.751297,-73.73986,QUEENS,0.0,0.0,0,0,0,0,0,0,3765744,2017-10-08 22:00:00,2017-10-08T22:00,22.8,0.1,Drizzle
01/31/2021,13:00,40.82406,-73.92815,BRONX,0.0,0.0,0,0,0,0,0,0,4388176,2021-01-31 13:00:00,2021-01-31T13:00,-3.9,0.0,Cloudy
10/05/2021,10:00,40.81351,-73.86019,BRONX,0.0,0.0,0,0,0,0,0,0,4464436,2021-10-05 10:00:00,2021-10-05T10:00,16.1,0.0,Cloudy
01/03/2017,10:00,40.714363,-73.90962,QUEENS,0.0,0.0,0,0,0,0,0,0,3591857,2017-01-03 10:00:00,2017-01-03T10:00,4.2,0.0,Cloudy
05/19/2015,11:00,40.7158065,-73.7739226,QUEENS,0.0,0.0,0,0,0,0,0,0,3224511,2015-05-19 11:00:00,2015-05-19T11:00,15.9,0.9,Drizzle
08/14/2023,15:00,40.577576,-74.105606,STATEN ISLAND,1.0,0.0,0,0,0,0,1,0,4654519,2023-08-14 15:00:00,2023-08-14T15:00,29.9,0.0,Clear
05/12/2014,22:00,40.7687688,-73.827531,QUEENS,0.0,0.0,0,0,0,0,0,0,335293,2014-05-12 22:00:00,2014-05-12T22:00,20.6,0.0,Cloudy
02/17/2019,22:00,40.64234,-73.89397,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4083481,2019-02-17 22:00:00,2019-02-17T22:00,1.4,0.2,Drizzle
02/05/2015,7:00,40.6684069,-73.7656914,QUEENS,0.0,0.0,0,0,0,0,0,0,3164712,2015-02-05 07:00:00,2015-02-05T07:00,-0.3,0.0,Cloudy
08/03/2013,19:00,40.7456822,-73.9721247,MANHATTAN,0.0,0.0,0,0,0,0,0,0,35706,2013-08-03 19:00:00,2013-08-03T19:00,23.5,0.0,Clear
10/30/2018,13:00,40.672382,-73.78574,QUEENS,0.0,0.0,0,0,0,0,0,0,4010835,2018-10-30 13:00:00,2018-10-30T13:00,11.0,0.0,Clear
09/21/2013,21:00,40.6433621,-73.9468572,BROOKLYN,0.0,0.0,0,0,0,0,0,0,139262,2013-09-21 21:00:00,2013-09-21T21:00,20.7,0.0,Cloudy
03/02/2016,12:00,40.7119054,-73.9629407,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3398925,2016-03-02 12:00:00,2016-03-02T12:00,4.8,0.0,Cloudy
02/08/2019,14:00,40.84784,-73.93953,MANHATTAN,0.0,0.0,0,0,0,0,0,0,4078068,2019-02-08 14:00:00,2019-02-08T14:00,10.5,0.0,Cloudy
02/13/2017,10:00,40.785553,-73.85819,QUEENS,0.0,0.0,0,0,0,0,0,0,3614644,2017-02-13 10:00:00,2017-02-13T10:00,0.7,0.0,Cloudy
11/30/2020,14:00,40.775913,-73.955086,MANHATTAN,0.0,0.0,0,0,0,0,0,0,4372523,2020-11-30 14:00:00,2020-11-30T14:00,15.2,3.4,Heavy Rain
12/10/2012,14:00,40.7539264,-73.8831754,QUEENS,0.0,0.0,0,0,0,0,0,0,280869,2012-12-10 14:00:00,2012-12-10T14:00,14.7,0.0,Cloudy
06/03/2016,17:00,40.690884,-73.72801,QUEENS,0.0,0.0,0,0,0,0,0,0,3455497,2016-06-03 17:00:00,2016-06-03T17:00,19.2,0.0,Cloudy
11/20/2019,9:00,40.65034,-73.95581,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4244687,2019-11-20 09:00:00,2019-11-20T09:00,4.6,0.0,Cloudy
02/02/2017,15:00,40.73058,-74.00169,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3609926,2017-02-02 15:00:00,2017-02-02T15:00,6.2,0.0,Cloudy
06/18/2014,12:00,40.8566926,-73.9370927,MANHATTAN,0.0,0.0,0,0,0,0,0,0,353492,2014-06-18 12:00:00,2014-06-18T12:00,26.7,0.0,Cloudy
10/21/2021,12:00,40.7223029,-73.9017911,QUEENS,0.0,0.0,0,0,0,0,0,0,4469992,2021-10-21 12:00:00,2021-10-21T12:00,21.1,0.0,Cloudy
06/22/2015,7:00,40.7607944,-73.9845106,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3244711,2015-06-22 07:00:00,2015-06-22T07:00,20.3,0.0,Clear
07/23/2013,4:00,40.7734737,-73.9170756,QUEENS,0.0,0.0,0,0,0,0,0,0,276813,2013-07-23 04:00:00,2013-07-23T04:00,23.4,5.8,Heavy Rain
03/31/2014,8:00,40.7110702,-73.7920281,QUEENS,0.0,0.0,0,0,0,0,0,0,313795,2014-03-31 08:00:00,2014-03-31T08:00,1.2,0.8,Heavy Snow
12/17/2016,0:00,40.59661,-73.95693,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3581838,2016-12-17 00:00:00,2016-12-17T00:00,-3.7,0.0,Cloudy
01/04/2018,13:00,40.62202,-73.98726,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3822559,2018-01-04 13:00:00,2018-01-04T13:00,-4.7,1.9,Heavy Snow
04/21/2013,15:00,40.7636231,-73.7869581,QUEENS,0.0,0.0,0,0,0,0,0,0,261540,2013-04-21 15:00:00,2013-04-21T15:00,10.7,0.0,Clear
11/16/2014,14:00,40.7998915,-73.9385839,MANHATTAN,0.0,0.0,0,0,0,0,0,0,2825470,2014-11-16 14:00:00,2014-11-16T14:00,5.8,0.0,Cloudy
07/31/2012,19:00,40.7246333,-73.9985857,MANHATTAN,0.0,0.0,0,0,0,0,0,0,310,2012-07-31 19:00:00,2012-07-31T19:00,24.2,0.0,Clear
11/10/2014,8:00,40.5932616,-74.1106455,STATEN ISLAND,0.0,0.0,0,0,0,0,0,0,2822194,2014-11-10 08:00:00,2014-11-10T08:00,3.0,0.0,Cloudy
03/27/2023,10:00,40.601654,-74.01087,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4616004,2023-03-27 10:00:00,2023-03-27T10:00,10.0,0.0,Clear
02/27/2014,16:00,40.7845155,-73.9498247,MANHATTAN,0.0,0.0,0,0,0,0,0,0,52222,2014-02-27 16:00:00,2014-02-27T16:00,-1.7,0.0,Clear
08/30/2014,8:00,40.7677437,-73.9821119,MANHATTAN,0.0,0.0,0,0,0,0,0,0,1015884,2014-08-30 08:00:00,2014-08-30T08:00,18.7,0.0,Cloudy
11/28/2016,16:00,40.724,-73.82038,QUEENS,0.0,0.0,0,0,0,0,0,0,3569024,2016-11-28 16:00:00,2016-11-28T16:00,9.7,0.0,Clear
05/19/2019,3:00,40.68956,-73.94101,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4137417,2019-05-19 03:00:00,2019-05-19T03:00,12.7,0.0,Cloudy
12/09/2017,21:00,40.70153,-73.82341,QUEENS,0.0,0.0,0,0,0,0,0,0,3806516,2017-12-09 21:00:00,2017-12-09T21:00,-0.2,0.6,Heavy Snow
04/19/2017,10:00,40.727875,-74.00543,MANHATTAN,0.0,0.0,0,0,0,0,0,0,3653890,2017-04-19 10:00:00,2017-04-19T10:00,8.7,0.0,Cloudy
03/21/2020,14:00,40.845585,-73.93903,MANHATTAN,0.0,0.0,0,0,0,0,0,0,4303120,2020-03-21 14:00:00,2020-03-21T14:00,9.4,0.0,Clear
04/20/2018,6:00,40.665245,-73.80204,QUEENS,0.0,0.0,0,0,0,0,0,0,3885899,2018-04-20 06:00:00,2018-04-20T06:00,0.7,0.0,Clear
10/19/2023,0:00,40.83661,-73.94126,MANHATTAN,0.0,0.0,0,0,0,0,0,0,4673731,2023-10-19 00:00:00,2023-10-19T00:00,9.6,0.0,Clear
03/08/2024,0:00,40.668125,-73.87862,BROOKLYN,0.0,0.0,0,0,0,0,0,0,4708784,2024-03-08 00:00:00,2024-03-08T00:00,5.0,0.0,Clear
08/04/2014,16:00,40.6257308,-73.9563925,BROOKLYN,1.0,0.0,0,0,0,0,1,0,1003960,2014-08-04 16:00:00,2014-08-04T16:00,27.6,0.0,Cloudy
11/30/2015,18:00,40.6822652,-73.8451332,QUEENS,0.0,0.0,0,0,0,0,0,0,3344143,2015-11-30 18:00:00,2015-11-30T18:00,6.7,0.0,Cloudy
06/20/2019,6:00,40.753334,-73.994095,MANHATTAN,0.0,0.0,0,0,0,0,0,0,4155055,2019-06-20 06:00:00,2019-06-20T06:00,19.4,0.0,Cloudy
05/21/2015,15:00,40.6484023,-73.9628751,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3224957,2015-05-21 15:00:00,2015-05-21T15:00,14.1,0.0,Cloudy
06/19/2017,0:00,40.577934,-73.97637,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3695439,2017-06-19 00:00:00,2017-06-19T00:00,24.3,0.0,Clear
02/16/2015,8:00,40.7727901,-73.8371242,QUEENS,0.0,0.0,0,0,0,0,0,0,3171054,2015-02-16 08:00:00,2015-02-16T08:00,-18.9,0.0,Clear
09/23/2013,9:00,40.708071,-73.8099817,QUEENS,0.0,0.0,0,0,0,0,0,0,236913,2013-09-23 09:00:00,2013-09-23T09:00,12.0,0.0,Clear
12/23/2015,21:00,40.7011882,-73.7414701,QUEENS,0.0,0.0,0,0,0,0,0,0,3359699,2015-12-23 21:00:00,2015-12-23T21:00,14.4,2.5,Heavy Rain
10/18/2018,12:00,40.5377,-74.15002,STATEN ISLAND,1.0,0.0,1,0,0,0,0,0,4002856,2018-10-18 12:00:00,2018-10-18T12:00,8.4,0.0,Clear
09/06/2018,16:00,40.621994,-73.94598,BROOKLYN,0.0,0.0,0,0,0,0,0,0,3975852,2018-09-06 16:00:00,2018-09-06T16:00,29.3,0.0,Clear
07/24/2016,14:00,40.78167,-73.83076,QUEENS,0.0,0.0,0,0,0,0,0,0,3487724,2016-07-24 14:00:00,2016-07-24T14:00,33.5,0.0,Cloudy
09/10/2020,16:00,40.608593,-74.00486,BROOKLYN,1.0,0.0,0,0,0,0,1,0,4346648,2020-09-10 16:00:00,2020-09-10T16:00,26.0,0.1,Drizzle
03/08/2018,22:00,40.8465,-73.84844,BRONX,0.0,0.0,0,0,0,0,0,0,3859592,2018-03-08 22:00:00,2018-03-08T22:00,0.8,0.1,Light Snow
09/02/2013,16:00,40.7291862,-73.9872492,MANHATTAN,0.0,0.0,0,0,0,0,0,0,15759,2013-09-02 16:00:00,2013-09-02T16:00,26.1,0.3,Drizzle
12/03/2020,12:00,40.788128,-73.787025,QUEENS,0.0,0.0,0,0,0,0,0,0,4374295,2020-12-03 12:00:00,2020-12-03T12:00,5.8,0.0,Clear
